Temperature             Voltage
(Kelvin)                (Volts)

1.20068073114752E+00   1.63725
1.29984701339048E+00   1.63616
1.40183014584225E+00   1.63489
1.69954855625799E+00   1.63045
1.99907738164713E+00   1.62504
2.39924539901193E+00   1.61663
2.80057572479886E+00   1.60735
3.20036788123426E+00   1.59770
3.70390926594964E+00   1.58478
4.20811655427451E+00   1.57032
5.01005938209167E+00   1.54426
6.03333124568889E+00   1.50858
7.05980154321619E+00   1.47244
8.10304792021394E+00   1.43748
9.12523843160537E+00   1.40634
1.01611117079869E+01   1.37796
1.11933911567694E+01   1.35240
1.22165856518074E+01   1.32931
1.32288448784306E+01   1.30837
1.42331179390745E+01   1.28925
1.52231774241766E+01   1.27173
1.62081875383871E+01   1.25535
1.71833022853551E+01   1.23987
1.81564520925959E+01   1.22490
1.91262437225168E+01   1.21016
2.00992880423476E+01   1.19517
2.10694557329234E+01   1.17930
2.18532738255546E+01   1.16459
2.26458942737660E+01   1.14704
2.32461694523232E+01   1.13497
2.38579959991251E+01   1.12675
2.44796968263953E+01   1.12187
2.51103947208687E+01   1.11868
2.57401348351181E+01   1.11630
2.65747979350151E+01   1.11378
2.74134615888681E+01   1.11163
2.82371065127458E+01   1.10974
2.92632660725534E+01   1.10757
3.02903496188578E+01   1.10554
3.23314885795329E+01   1.10174
3.53752534005899E+01   1.09643
3.83844574154445E+01   1.09146
4.24058643760677E+01   1.08501
4.63980539137034E+01   1.07866
5.23861266014690E+01   1.06905
5.83641046351080E+01   1.05932
6.43448072282499E+01   1.04943
7.03329630918774E+01   1.03934
7.63158187679954E+01   1.02907
8.23092267665897E+01   1.01858
8.82944575780695E+01   1.00790
9.42824132763985E+01   0.99703
1.00276328192748E+02   0.98596
1.10258353845108E+02   0.96714
1.25250981530692E+02   0.93804
1.40242789712520E+02   0.90809
1.55221413948834E+02   0.87743
1.70210749937222E+02   0.84613
1.85208042421910E+02   0.81427
2.00195428906857E+02   0.78196
2.15185488488099E+02   0.74921
2.30183286257564E+02   0.71606
2.45173377538508E+02   0.68257
2.60171524090837E+02   0.64873
2.75171380326170E+02   0.61459
2.90160787048581E+02   0.58020
3.05158479279845E+02   0.54554
3.15151837481539E+02   0.52234
3.20154112506716E+02   0.51069
3.26140712729445E+02   0.49672
3.30154300827973E+02   0.48735
