Temp.     Voltage    Sensitivity
(Kelvin)  (Volts)    (milliVolts/Kelvin)

   1.400   1.63491    -1.307184E+01
   1.500   1.63354    -1.432392E+01
   1.600   1.63205    -1.549213E+01
   1.700   1.63045    -1.657647E+01
   1.800   1.62874    -1.759528E+01
   1.900   1.62693    -1.856659E+01
   2.000   1.62503    -1.949038E+01
   2.100   1.62303    -2.034188E+01
   2.200   1.62096    -2.109721E+01
   2.300   1.61882    -2.175634E+01
   2.400   1.61661    -2.231930E+01
   2.500   1.61436    -2.279265E+01
   2.600   1.61206    -2.318277E+01
   2.700   1.60972    -2.348966E+01
   2.800   1.60736    -2.371333E+01
   2.900   1.60498    -2.390662E+01
   3.000   1.60258    -2.412360E+01
   3.100   1.60016    -2.436428E+01
   3.200   1.59771    -2.462866E+01
   3.300   1.59523    -2.494299E+01
   3.400   1.59272    -2.533391E+01
   3.500   1.59016    -2.580141E+01
   3.600   1.58755    -2.634551E+01
   3.700   1.58489    -2.696619E+01
   3.800   1.58216    -2.762977E+01
   3.900   1.57936    -2.829701E+01
   4.000   1.57650    -2.896785E+01
   4.200   1.57057    -3.032034E+01
   4.400   1.56438    -3.157724E+01
   4.600   1.55795    -3.260974E+01
   4.800   1.55135    -3.341765E+01
   5.000   1.54460    -3.400096E+01
   5.200   1.53776    -3.442670E+01
   5.400   1.53084    -3.477630E+01
   5.600   1.52385    -3.504995E+01
   5.800   1.51682    -3.524764E+01
   6.000   1.50976    -3.536939E+01
   6.500   1.49206    -3.532642E+01
   7.000   1.47452    -3.477434E+01
   7.500   1.45736    -3.377158E+01
   8.000   1.44080    -3.240955E+01
   8.500   1.42500    -3.081694E+01
   9.000   1.40998    -2.926250E+01
   9.500   1.39573    -2.777590E+01
  10.000   1.38218    -2.640876E+01
  10.500   1.36930    -2.515929E+01
  11.000   1.35701    -2.401447E+01
  11.500   1.34527    -2.296627E+01
  12.000   1.33403    -2.198682E+01
  12.500   1.32327    -2.106995E+01
  13.000   1.31295    -2.020020E+01
  13.500   1.30306    -1.938060E+01
  14.000   1.29356    -1.863657E+01
  14.500   1.28441    -1.796926E+01
  15.000   1.27558    -1.736597E+01
  15.500   1.26703    -1.682812E+01
  16.000   1.25874    -1.637159E+01
  16.500   1.25065    -1.599497E+01
  17.000   1.24273    -1.568282E+01
  17.500   1.23495    -1.543698E+01
  18.000   1.22728    -1.527071E+01
  18.500   1.21967    -1.518806E+01
  19.000   1.21208    -1.519767E+01
  19.500   1.20445    -1.532251E+01
  20.000   1.196727   -1.561777E+01
  21.000   1.180498   -1.710459E+01
  22.000   1.161473   -2.167003E+01
  23.000   1.139545   -1.988343E+01
  24.000   1.125392   -8.943103E+00
  25.000   1.119160   -4.490421E+00
  26.000   1.115458   -3.135864E+00
  27.000   1.112651   -2.550969E+00
  28.000   1.110264   -2.250978E+00
  29.000   1.108112   -2.067602E+00
  30.000   1.106103   -1.957112E+00
  31.000   1.104186   -1.880664E+00
  32.000   1.102337   -1.820912E+00
  33.000   1.100539   -1.774725E+00
  34.000   1.098785   -1.735021E+00
  35.000   1.097067   -1.701262E+00
  36.000   1.095381   -1.673121E+00
  37.000   1.093720   -1.649373E+00
  38.000   1.092080   -1.629901E+00
  39.000   1.090459   -1.614594E+00
  40.000   1.088850   -1.603017E+00
  42.000   1.085659   -1.590924E+00
  44.000   1.082478   -1.590246E+00
  46.000   1.079295   -1.594040E+00
  48.000   1.076100   -1.600714E+00
  50.000   1.072892   -1.607437E+00
  52.000   1.069670   -1.614125E+00
  54.000   1.066435   -1.621073E+00
  56.000   1.063185   -1.628876E+00
  58.000   1.059919   -1.637550E+00
  60.000   1.056635   -1.646948E+00
  65.000   1.048338   -1.672308E+00
  70.000   1.039909   -1.699191E+00
  75.000   1.031345   -1.726682E+00
  77.350   1.027272   -1.739703E+00
  80.000   1.022642   -1.754335E+00
  85.000   1.013802   -1.781738E+00
  90.000   1.004825   -1.808871E+00
  95.000   0.995714   -1.835456E+00
 100.000   0.986473   -1.860685E+00
 105.000   0.977109   -1.884540E+00
 110.000   0.967629   -1.907530E+00
 115.000   0.958036   -1.929514E+00
 120.000   0.948336   -1.950316E+00
 125.000   0.938535   -1.969938E+00
 130.000   0.928638   -1.988502E+00
 135.000   0.918651   -2.006158E+00
 140.000   0.908578   -2.022908E+00
 145.000   0.898424   -2.038774E+00
 150.000   0.888192   -2.053781E+00
 155.000   0.877887   -2.067930E+00
 160.000   0.867514   -2.081354E+00
 165.000   0.857075   -2.094211E+00
 170.000   0.846573   -2.106499E+00
 175.000   0.836010   -2.118265E+00
 180.000   0.825391   -2.129558E+00
 185.000   0.814716   -2.140379E+00
 190.000   0.803988   -2.150772E+00
 195.000   0.793209   -2.160790E+00
 200.000   0.782380   -2.170434E+00
 205.000   0.771505   -2.179732E+00
 210.000   0.760584   -2.188721E+00
 215.000   0.749618   -2.197400E+00
 220.000   0.738610   -2.205843E+00
 225.000   0.727560   -2.214136E+00
 230.000   0.716469   -2.222279E+00
 235.000   0.705337   -2.230227E+00
 240.000   0.694167   -2.237925E+00
 245.000   0.682959   -2.245373E+00
 250.000   0.671714   -2.252552E+00
 255.000   0.660434   -2.259438E+00
 260.000   0.649120   -2.266032E+00
 265.000   0.637774   -2.272467E+00
 270.000   0.626395   -2.278899E+00
 273.150   0.619210   -2.282949E+00
 275.000   0.614985   -2.285327E+00
 280.000   0.603542   -2.291560E+00
 285.000   0.592070   -2.297381E+00
 290.000   0.580569   -2.302790E+00
 295.000   0.569042   -2.307944E+00
 300.000   0.557490   -2.313023E+00
 305.000   0.545912   -2.318028E+00
 310.000   0.534310   -2.322479E+00
 315.000   0.522689   -2.325833E+00
 320.000   0.511050   -2.330307E+00
 325.000   0.499386   -2.334790E+00
